Id,Name,CourseType,Credits,Faculty
07cc1ca7-d961-5e77-b5b6-e770a48014e8,Geometrijos didaktika, Compulsory,5,MIF
cb961ffb-f649-508f-9476-2062487bac5c,Giliojo mokymosi metodai, Optional,5,MIF
7daadb63-6ba9-54c0-b8a2-712c5ddaf84d,Gyvybės draudimas. Sveikatos draudimas, Compulsory,5,MIF
84177809-ae29-5682-a82b-545a0a2d16a7,Gyvybės ir sveikatos draudimo modeliai, Optional,5,MIF
ef0fff3f-e489-5f11-b54b-fdf3abc6eb60,Grafai ir algoritmai, Compulsory,5,MIF
d221825f-26e2-5a65-a744-eacb2ea92037,Grafai ir algoritmai, Optional,5,MIF
e9bd8f9e-2718-55ff-97ab-e358c807ed51,Grafika ir vizualizacijos metodai, Optional,5,MIF
6de2a550-b23b-583e-b04e-f7512d046d5b,Grafų teorija, Compulsory,5,MIF
f44b229a-4da0-5502-aa05-0caf89debcb5,Grafų teorija, Optional,5,MIF
17c25ab4-2f43-5a01-86e8-c0d4a834f3e9,Grafų teorijos algoritmai, Optional,5,MIF
44006e36-1769-57b2-a441-f659ed657eb0,Grid skaičiavimų taikymai, Optional,5,MIF
c8a2b4ea-3755-5d66-abfc-0d5b6022d9b9,Harmoninė analizė, Optional,5,MIF
c06e7a86-f758-50fd-ab53-d067951e596b,Imčių metodai, Compulsory,5,MIF
58adb900-289e-56dc-9664-dc8ad878e26a,Imčių metodai, Optional,5,MIF
c4b83b4d-496d-5b92-94d8-8385e7045108,Imitaciniai metodai ekonometrijoje, Optional,5,MIF
ef690b5b-1645-5945-8952-ff3a9798a039,Įmonių finansai, Optional,5,MIF
ab754f91-5162-5fee-aa90-77396c296987,Įmonių informacinių technologijų valdymas, Optional,5,MIF
2a285fbd-0f03-549a-9fc9-9ae4567ecd91,Informacija ir kodavimas, Compulsory,5,MIF
deb1850f-fbc2-5a92-b54b-5d54bcfad550,Informacijos apdorojimas kompiuteriu, Optional,5,MIF
55560166-6acc-58a3-a6b2-64af0952bed2,Informacijos saugos valdymas, Compulsory,5,MIF
3e076e2c-b95d-5aa1-b65e-fc0276e14bae,Informacijos saugos valdymas, Optional,5,MIF
ba340079-ecbd-57ad-b044-bfbb66876548,Informacijos saugumas, Optional,5,MIF
d2a54a6d-5149-56ea-90f0-11cb4698708c,Informacijos teorija, Compulsory,5,MIF
7221b075-2f68-5717-b104-9ae8d877deda,Informacijos teorija, Optional,5,MIF
56bb2b27-dc3c-5547-a44f-b3d4aa9e300b,Informacijos teorija ir duomenų struktūra, Optional,5,MIF
53ccd38d-88d2-5507-8666-2a70233f2ff3,Informacinės ir grupinio darbo sistemos, Compulsory,5,MIF
c9d44462-19cc-5868-95d7-057e119a543c,Informacinės mokymo technologijos, Compulsory,5,MIF
7bdf782f-8447-5e7d-8514-74ed4b02c5f3,Informacinės sistemos, Optional,5,MIF
df2d10e4-d42b-5468-b40d-bd7daa1572c4,Informacinių sistemų auditas, Optional,5,MIF
7e0ed595-53c2-509c-9e07-7f5119c625ac,Informacinių sistemų kūrimo projektų valdymo metodikos, Compulsory,5,MIF
cd7dfd30-665a-5f9c-8a88-47afaf3d0e4d,Informacinių technologijų veiklos valdymas organizacijoje, Optional,5,MIF
0deadcbd-278d-5085-a5ae-6b5486b0dabd,Informatika, Compulsory,5,MIF
38f8d981-35f4-5389-b09e-6059a3a7ed83,Informatika I/II d., Compulsory,5,MIF
53a1c16b-5d82-5ffb-884e-b9681130a6a8,Informatika II/II d., Compulsory,5,MIF
001a511c-4885-5e8e-828b-55e68bc4a711,Informatikos didaktika, Compulsory,5,MIF
a2d25be6-f25d-5d3a-a58c-4bad56469719,Informatikos pagrindai, Compulsory,5,MIF
5117fcca-263a-5b01-9137-8eb452a53dc2,Informatikos teisė, Compulsory,5,MIF
bbe9b1da-2a6a-570e-b81d-eb4b80b5ec0c,Informatikos teisė, Optional,5,MIF
c3716c40-1178-5cd7-b0c7-3f83e74fc043,Integralinės lygtys, Optional,5,MIF
533db975-8f74-593f-ba34-73c28d080d1f,Intelektualios sistemos, Compulsory,5,MIF
4cad411a-1b7a-593d-94a7-b55e7623c1a1,Intelektualios sistemos, Optional,5,MIF
e0e50e76-cbef-5c6b-8583-18ceb3879397,Interaktyvios sistemos, Optional,5,MIF
5fe0fc9e-19d5-5605-89e0-07b81b5e1cc3,Interneto ir multimedijos technologijos, Compulsory,5,MIF
afc9de4a-20c5-556e-870b-6243642f80ef,Interneto technologijos, Compulsory,5,MIF
a3bdcfde-5803-5afd-b975-dd8d34a6d69b,Interneto technologijos, Optional,5,MIF
e168cbe6-e731-5f57-b074-8a46dd32bf2c,Investicijų planavimas, Optional,5,MIF
9985a7d6-3753-5285-95d3-a27112a98371,Investicijų teorija, Compulsory,5,MIF
896c852b-c72c-5d9b-90fb-a96dfb14a1f5,Išgyvenamumo analizė, Compulsory,5,MIF
49806726-249c-5e4f-8abf-4f5cb6b64570,Išgyvenamumo demografiniai modeliai, Compulsory,5,MIF
2cfedc74-dfe2-5071-b34c-1a639ab5afa9,Išgyvenamumo demografiniai modeliai, Optional,5,MIF
5569b68f-4a42-5af5-a458-23ef4a5ea31c,IT ir komunikacijos įgūdžiai, Compulsory,5,MIF
ccdef33d-1c18-53a7-b6d7-cca2e931e2e6,IT projektų valdymas, Optional,5,MIF
359424b2-e2ac-506f-8f10-7a065a62a5a1,Įvadas į algebrinę skaičių teoriją, Optional,5,MIF
d9e5b158-5441-5dde-b331-00022e72ce6e,Įvadas į ekonometrijos studijas, Compulsory,5,MIF
a5355d43-0b7e-5d03-b19b-94dea1cdfe98,Įvadas į finansų ir draudimo matematiką, Compulsory,5,MIF
a5fd814a-102f-5aa3-9c33-f652149a9b2d,Įvadas i Galua teoriją, Optional,5,MIF
2f88aca3-f067-5d6f-97fd-a2aebce56764,Įvadas į kompiuterių architektūrą, Compulsory,5,MIF
